plot	feature_ID	N tissues differential																					
	niacinamide	6																					
	serotonin	6																					
	PC(36:5)_feature3	6																					
	PC(O-36:5)>PC(O-16:1/20:4)_M+H2CO2_feature5	6																					
	Sarcosine	6																					
	S-Allylcysteine	6																					
	CAR(18:0)	6																					
	PS(O-42:7)>PS(O-20:3/22:4)_feature1	6																					
	guanosine	6																					
	1-methylnicotinamide	6																					
	C18:0 LPC	6																					
	Inosine	6																					
	PC(32:2)	6																					
	ketoleucine	6																					
	PC(37:2)_feature2	6																					
	PC(40:5)_feature1	6																					
	PC(44:12)_feature1	6																					
	SM(d40:2)_M+H2CO2_feature1	6																					
	PI(38:3)>PI(18:0_20:3)_feature2	6																					
	4-guanidinobutanoate	5																					
	Hypoxanthine	5																					
	CAR(18:1(OH))	5																					
	CAR(12:0)	5																					
	N-Acetylphenylalanine	5																					
	TG(54:4)_M+NH3_feature6	5																					
	sn-Glycero-3-phosphocholine	5																					
	CAR(18:1)	5																					
	PC(40:4)>PC(18:0_22:4)_M+H2CO2_feature2	5																					
	PC(32:2)_feature1	5																					
	hyodeoxycholate	5																					
	PE(O-38:5)>PE(O-18:1/20:4)_feature6	5																					
	2'-deoxycytidine	5																					
	21-deoxycortisol	5																					
	C14:0 LPC	5																					
	C36:2 PE	5																					
	"N6,N6,N6-trimethyllysine"	5																					
	creatine	5																					
	threonine	5																					
	3-indolepropionate	5																					
	5'-methylthioadenosine	5																					
	Alanine	5																					
	Aspartic acid	5																					
	C18:1 LPE	5																					
	C20:4 LPE	5																					
	C20:5 LPC	5																					
	CAR(6:0)	5																					
	PC(41:3)_feature1	5																					
	C34:3 PE plasmalogen	5																					
	N-acetylhistidine	5																					
	cadaverine	5																					
	Glutamic acid	5																					
	CAR(20:0)	5																					
	PC(32:1)_feature1	5																					
	PC(36:5)>PC(16:1_20:4)_M+H2CO2_feature2	5																					
	methylimidazoleacetate	5																					
	C18:1 LPC	5																					
	CAR(12:1)	5																					
	PC(34:3)_feature3	5																					
	alpha-muricholate	5																					
	Car(16:0)	5																					
	hippurate	5																					
	PS(38:4)>PS(18:0_20:4)_feature2	5																					
	PC(36:2)_feature3	5																					
	PC(40:8)	5																					
	Methionine	5																					
	PC(36:4)>PC(18:2/18:2)_M+H2CO2_feature2	5																					
	TG(52:4)>TG(16:0_16:0_20:4)_and_TG(16:1_18:1_18:2)_and_TG(16:0_18:1_18:2)_M+NH3_feature6	5																					
	TG(56:5)>TG(16:0_18:1_22:4)_M+NH3_feature5	5																					
	PS(40:5)_feature3	5																					
	acetylcholine	5																					
	PC(37:3)_feature2	5																					
	PC(38:3)>PC(18:0_20:3)_M+H2CO2_feature3	5																					
	PC(32:0)_feature1	5																					
	PC(37:4)>PC(17:0_20:4)_M+H2CO2_feature3	5																					
	phytosphingosine	5																					
	C7 carnitine	5																					
	PC(36:1)_feature1	5																					
	PE(34:1)_feature1	5																					
	SM(d34:1)	5																					
	C26 carnitine	4																					
	DG(18:1_18:1)	4																					
	Arginine	4																					
	N-acetylaspartate	4																					
	SDMA	4																					
	CAR(10:0)	4																					
	CAR(5:1)	4																					
	tauroursodeoxycholate	4																					
	N-lauroylglycine	4																					
	taurohyodeoxycholate	4																					
	C3-DC-CH3 carnitine	4																					
	Sphinganine	4																					
	PC(34:4)_feature2	4																					
	trigonelline	4																					
	C22:6 LPC	4																					
	CAR(4:0(OH))	4																					
	LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	4																					
	PE(34:3)>PE(16:1_18:2)_feature1	4																					
	PC(32:0)>PC(16:0_16:0)_M+H2CO2_feature2	4																					
	PC(33:1)_feature1	4																					
	PE(38:6)>PE(18:2_20:4)_feature2	4																					
	PE(O-38:5)>PE(O-16:1/22:4)_feature5	4																					
	SM(d42:1)	4																					
	PI(40:5)>PI(18:0_22:5)_feature1	4																					
	PE(39:6)>PE(17:0_22:6)_feature2	4																					
	C5-DC carnitine	4																					
	CAR(14:0)	4																					
	Glycine	4																					
	Leucine	4																					
	SM(d40:2)_feature1	4																					
	TG(49:0)>TG(16:0_16:0_17:0)_and_TG(15:0_16:0_18:0)_and_TG(14:0_16:0_19:0)_M+NH3_feature1	4																					
	PC(O-38:5)>PC(O-18:1/20:4)_M+H2CO2_feature1	4																					
	1-methyladenosine	4																					
	C36:4 PE	4																					
	C36:5 PC plasmalogen	4																					
	GABA	4																					
	N-acetylleucine	4																					
	S-methyl-L-cysteine-S-oxide	4																					
	imidazoleacetate	4																					
	putrescine	4																					
	sphingosine	4																					
	Asparagine	4																					
	C18:1 LPC plasmalogen A	4																					
	CAR(10:1)	4																					
	C38:7 PE plasmalogen	4																					
	CoA(4:0)	4																					
	LPC(18:1)>LPC(18:1/0:0)_feature2	4																					
	PC(34:2)>PC(16:0_18:2)_M+H2CO2_feature1	4																					
	PE(36:3)_feature1	4																					
	PE(36:4)>PE(16:0_20:4)_feature1	4																					
	PE(38:6)>PE(16:0_22:6)_feature3	4																					
	pyridoxamine	4																					
	Car(18:2)_feature1	4																					
	C20:4 LPC A	4																					
	Carnitine	4																					
	Ornithine	4																					
	PE(40:5)_feature4	4																					
	cotinine N-oxide	4																					
	C18:1 SM	4																					
	LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	4																					
	PC(34:1)_feature2	4																					
	PC(36:5)_feature1	4																					
	PE(O-38:6)>PE(O-16:1/22:5)_feature3	4																					
	PI(40:6)>PI(18:0_22:6)_feature2	4																					
	TG(48:1)>TG(16:0_16:0_16:1)_and_TG(14:0_16:0_18:1)_M+NH3_feature3	4																					
	TG(54:5)>TG(18:1_18:2_18:2)_and_TG(16:0_16:0_22:5)_and_TG(16:0_18:1_20:4)_M+NH3_feature5	4																					
	TG(58:9)_M+NH3_feature2	4																					
	CAR(20:4)	4																					
	fructose 6-phosphate	4																					
	TG(53:6)>TG(17:2_18:2_18:2)_and_TG(17:1_18:2_18:3)_M+NH3_feature2	4																					
	C32:2 PC	4																					
	Ketoglutarate	4																					
	PC(32:1)	4																					
	PC(O-34:1)>PC(O-18:1/16:0)_M+H2CO2_feature2	4																					
	Taurine	4																					
	glutathione	4																					
	dimethylglycine	4																					
	Isocitrate	4																					
	PC(35:2)_feature2	4																					
	PC(38:3)_feature3	4																					
	PC(40:7)_feature1	4																					
	PE(36:2)>PE(18:0_18:2)_feature2	4																					
	PE(36:2)>PE(18:2_18:0)_feature3	4																					
	SM(d40:1)	4																					
	TG(58:10)_M+NH3_feature3	4																					
	betaine	4																					
	taurochenodeoxycholate	4																					
	biopterin	4																					
	PE(O-40:6)>PE(O-18:1/22:5)_feature4	4																					
	PC(O-38:4)_feature4	4																					
	PE(40:5)>PE(18:0_22:5)_feature3	4																					
	Phosphoethanolamine	4																					
	TG(50:3)_M+NH3_feature3	4																					
	Uric acid	4																					
	hydroxyindole acetate	4																					
	PC(35:2)>PC(17:0_18:2)_M+H2CO2_feature2	4																					
	PC(36:2)>PC(18:0_18:2)_M+H2CO2_feature3	4																					
	PC(37:2)_feature1	4																					
	PC(41:6)_feature3	4																					
	PE(38:4)>PE(18:0_20:4)_feature5	4																					
	TG(50:2)>TG(16:0_16:1_18:1)_and_TG(14:0_18:1_18:1)_M+NH3_feature3	4																					
	TG(58:10)_M+NH3_feature2	4																					
	TG(58:9)_M+NH3_feature3	4																					
	glutathione reduced	4																					
	hydroxyphenyllactic acid	4																					
	Hydroxyproline	4																					
	PC(36:1)>PC(16:0_20:1)_and_PC(18:0_18:1)_M+H2CO2_feature1	4																					
	hexose phosphate	4																					
	CAR(18:2)	4																					
	alpha-Amino-N-butyric-acid	3																					
	C38:5 PE plasmalogen	3																					
	DG(38:3)>DG(18:2_20:1_0:0)_M+NH3_feature2	3																					
	C18:1 LPC plasmalogen B	3																					
	PE(O-36:5)>PE(O-16:1/20:4)_feature3	3																					
	glycohyodeoxycholate	3																					
	FA(10:0-OH)	3																					
	PC(34:2)_feature1	3																					
	PE(34:2)_feature2	3																					
	C18:0 LPE A	3																					
	CAR(9:0)	3																					
	Cer(d34:1)_M+H2CO2_feature1	3																					
	CoA(2:0-COOH)_and_CoA(4:0-OH)	3																					
	Valine	3																					
	DG(34:1)	3																					
	DG(34:2)	3																					
	TG(55:7)_M+NH3_feature2	3																					
	C20:0 SM	3																					
	Cer(d41:1)>Cer(d18:1/23:0)_feature1	3																					
	Malic acid	3																					
	"GTInternalStandard_PS(33:1(d7))>PS(15:0/18:1(9z,d7))_feature1"	3																					
	CAR(2:0)	3																					
	PC(34:3)	3																					
	TG(36:0)>TG(4:0_16:0_16:0)_M+NH3_feature4	3																					
	C20:4 LPC	3																					
	"N2,N2-dimethylguanosine"	3																					
	Car(20:2)_feature1	3																					
	"Car(4:0,3-CH3)"	3																					
	Carnosine	3																					
	Cer(d38:1)_M+H2CO2_feature1	3																					
	CoA(6:1)	3																					
	SM(d36:0)_feature1	3																					
	TG(51:3)>TG(15:0_18:1_18:2)_and_TG(16:0_17:1_18:2)_and_TG(16:1_17:1_18:1)_M+NH3_feature3	3																					
	C14:2 carnitine	3																					
	C18:1-OH carnitine	3																					
	SM(d41:0)_feature1	3																					
	PC(39:4)_feature5	3																					
	PC(O-34:1)_feature2	3																					
	PI(38:3)>PI(18:0_20:3)_feature4	3																					
	CL(70:7)_feature1	3																					
	CMP	3																					
	FAD	3																					
	PC(40:6)	3																					
	PC(42:8)_feature2	3																					
	PC(O-38:5)_feature3	3																					
	CoA(6:0)	3																					
	PC(33:2)	3																					
	PE(40:7)>PE(18:1_22:6)_and_PE(18:0_22:7)_feature3	3																					
	PE(O-38:2)>PE(O-18:1/20:1)_feature4	3																					
	PG(36:2)>PG(18:0_18:2)_feature2	3																					
	SM(d34:2)	3																					
	SM(d38:2)_feature2	3																					
	TG(49:1)>TG(15:0_16:0_18:0)_and_TG(16:0_16:0_17:1)_and_>TG(16:0_16:1_17:0)_M+NH3_feature1	3																					
	PE(O-38:7)>PE(O-18:3/20:4)_feature1	3																					
	TG(54:8)_M+NH3_feature1	3																					
	NAD+	3																					
	pyruvate	3																					
	uracil	3																					
	C20:0 LPE	3																					
	Car(12:0)_feature2	3																					
	N-acetylalanine	3																					
	PC(O-40:7)_feature3	3																					
	PE(40:8)>PE(18:2_22:6)_feature1	3																					
	PG(34:2)>PG(16:0_18:2)_feature1	3																					
	PG(40:8)>PG(18:2_22:6)_feature1	3																					
	PS(40:4)>PS(18:0_22:4)_feature1	3																					
	Phenylalanine	3																					
	Sphingosine 1-phosphate	3																					
	TG(54:6)>TG(16:0_18:2_20:4)_M+NH3_feature5	3																					
	TG(60:10)>TG(18:0_20:4_22:6)_M+NH3_feature3	3																					
	Tyrosine	3																					
	glycoursodeoxycholate	3																					
	PC(O-38:4)_feature6	3																					
	cystine	3																					
	PS(40:5)>PS(18:0_22:5)_feature2	3																					
	Car(18:1)_feature1	3																					
	PC(38:6)>PC(16:0_22:6)_and_PC(18:0_20:6)_M+H2CO2_feature2	3																					
	SM(d42:2)_feature2	3																					
	1-methylhistamine	3																					
	5-methylcytidine	3																					
	C14:1 carnitine	3																					
	C16:0 Ceramide (d18:1)	3																					
	C16:0 SM	3																					
	C16:1 SM	3																					
	C20:4 carnitine	3																					
	C24:0 LPC	3																					
	C3 carnitine	3																					
	C36:2 PC	3																					
	C38:6 PC plasmalogen	3																					
	C5:1 carnitine	3																					
	L-alpha-glutamyl-L-Lysine	3																					
	N1-acetylspermidine	3																					
	2-aminoisobutyrate	3																					
	ATP	3																					
	C16:0 LPE	3																					
	Cystathionine 1	3																					
	PC(38:4)_feature4	3																					
	PC(O-36:3)_feature1	3																					
	PG(38:4)>PG(18:0_20:4)_feature3	3																					
	SM(d32:1)	3																					
	C34:0 PE	3																					
	2-acetylpyrrolidine	3																					
	C16:0 LPC	3																					
	Car(14:1-OH)_feature1	3																					
	CoA(18:0)	3																					
	PC(35:1)_feature1	3																					
	PC(36:3)>PC(18:1_18:2)_M+H2CO2_feature2	3																					
	PC(37:3)_feature1	3																					
	PC(38:6)	3																					
	PC(38:7)_feature1	3																					
	PC(38:7)_feature2	3																					
	PC(40:6)_feature3	3																					
	PC(40:7)_feature3	3																					
	PS(40:5)>PS(18:0_22:5)_feature5	3																					
	Proline	3																					
	TG(49:2)_M+NH3_feature3	3																					
	TG(54:6)>TG(18:2/18:2/18:2)_and_TG(18:1_18:2_18:3)_M+NH3_feature4	3																					
	TG(56:8)>TG(16:0_18:2_22:6)_M+NH3_feature5	3																					
	FA(22:5)	3																					
	PC(39:5)_feature1	3																					
	PS(36:1)>PS(18:0_18:1)_feature1	3																					
	TG(56:7)>TG(16:0_18:1_22:6)_M+NH3_feature6	3																					
	urocanate	3																					
	C18:3 LPE	3																					
	CE(20:5)_M+NH3_feature1	3																					
	PE(36:5)_feature3	3																					
	SM(d44:2)_M+H2CO2_feature1	3																					
	CoA(4:1-CH3)	3																					
	N-acetylmethionine	3																					
	PC(30:1)_feature1	3																					
	PI(38:4)>PI(18:0_20:4)_feature2	3																					
	TG(48:2)>TG(14:0_16:0_18:2)_and_TG(14:0_16:1_18:1)_M+NH3_feature3	3																					
	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature5	3																					
	DG(36:3)>DG(18:1_18:2_0:0)_M+NH3_feature3	3																					
	PC(32:1)>PC(14:0_18:1)_and_PC(16:0_16:1) M+ H2CO2_feature2	3																					
	PC(36:3)	3																					
	PC(O-38:5)_feature2	3																					
	PE(36:2)>PE(18:2_18:0)_feature2	3																					
	PE(40:5)_feature3	3																					
	PE(O-34:3)>PE(O-16:1/18:2)_feature1	3																					
	Palmitoleic acid	3																					
	Pantothenic acid	3																					
	sedoheptulose-7-phosphate	3																					
	PC(37:1)_feature3	3																					
	PC(37:6)_feature1	3																					
	PC(38:5)_feature2	3																					
	PC(38:6)_feature2	3																					
	PC(40:5)>PC(18:0_22:5)_M+H2CO2_feature4	3																					
	PC(40:7)>PC(18:1_22:6) _M+H2CO2_feature3	3																					
	PE(36:3)>PE(18:1_18:2)_feature1	3																					
	PE(O-38:6)>PE(O-18:2/20:4)_and_PE(O-16:1/22:5)_feature4	3																					
	PE(O-40:7)>PE(O-18:1/22:6)_feature7	3																					
	SM(d34:1-OH)_feature1	3																					
	SM(d38:1)	3																					
	SM(d40:1)_M+H2CO2_feature2	3																					
	SM(d40:2)_M+H2CO2_feature2	3																					
	TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature5	3																					
	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature4	3																					
	Car(16:2)	3																					
	"FA(20:5(5Z,8Z,11Z,14Z,17Z)))"	3																					
	PC(34:4)	3																					
	S-adenosylhomocysteine	3																					
	SM(d36:1)	3																					
	SM(d36:2)	3																					
	C14 carnitine	3																					
	PE(36:5)>PE(16:0_20:5)_M+H2CO2_feature3	3																					
	PE(38:5)>PE(18:0_20:5)_feature6	3																					
	CoA(22:1)	3																					
	PS(40:6)>PS(18:0_22:6)_feature3	3																					
	SM(d38:1)_M+H2CO2_feature2	3																					
	Kynurenic acid	3																					
	LPC(20:4)>LPC(20:4/0:0)_and_LPC(0:0/20:4)_feature1and2	3																					
	PC(30:0)>PC(14:0_16:0)_M+H2CO2_feature1	3																					
	Succinate	3																					
	TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_M+NH3_feature1	3																					
	TG(56:10)>TG(18:2_18:3_20:5)_M+NH3_feature1	3																					
	TG(57:1)>TG(16:0_18:1_23:0)_and_TG(18:0_18:1_21:0)_M+NH3_feature1	3																					
	guanine	3																					
	pantothenate	3																					
	FA(24:0)	3																					
	FA(24:1)	3																					
	PC(35:3)_feature1	3																					
	PC(41:7)_feature1	3																					
	PE(34:2)>PE(16:0_18:2)_feature2	3																					
	PE(36:4)>PE(18:2/18:2)_feature1	3																					
	SM(d41:1)_feature1	3																					
	SM(d44:2)_feature1	3																					
	TG(50:1)>TG(16:0_16:0_18:1)_feature4	3																					
	TG(51:4)>TG(16:1_17:1_18:2)_and_TG(15:0_18:2_18:2)_and_TG(15:1_18:1_18:2)_M+NH3_feature1	3																					
	TG(53:3)>TG(17:0_18:1_18:2)_and_TG(17:1_18:1_18:1)_and_TG(16:1_18:1_19:1)_and_TG(16:0_18:1_19:2)_M+NH3_feature5	3																					
	TG(58:4)_M+NH3_feature5	3																					
	alpha-Aminoadipic-acid	3																					
	sphinganine (C16)	3																					
	C38:6 PE plasmalogen	3																					
	Car(16:3)	3																					
	FA(20:3)	3																					
	DG(34:1)>DG(16:0_18:1_0:0)_M+NH3_feature2	3																					
	PC(38:6)>PC(18:2_20:4)_M+H2CO2_feature1	3																					
	taurodeoxycholate	3																					
	PC(O-36:4)_feature4	3																					
	UDP-N-acetylglucosamine	3																					
	kynurenine	3																					
	N-acetylhistamine	3																					
	Car(5:0-OH)	2																					
	TG(46:1)>TG(12:0_16:0_18:1)_and_TG(10:0_18:0_18:1)_and_TG(14:0_16:0_16:1)_M+NH3_feature2	2																					
	CE(18:2)_M+NH3_feature1	2																					
	C38:4 PE	2																					
	CoA(10:2)	2																					
	DG(36:1)>DG(18:0_18:1_0:0)_M+NH3_feature1	2																					
	PS(O-40:7)>PS(O-20:3/20:4)_feature2	2																					
	vitamin A	2																					
	CE(22:6)_M+NH3_feature2	2																					
	SM(d42:1)_feature1	2																					
	TG(58:5)_M+NH3_feature4	2																					
	CL(74:10)_feature1	2																					
	DG(40:4)>DG(18:0_22:4_0:0)_feature3	2																					
	MG(18:1)_rp_b	2																					
	2'-O-methyladenosine	2																					
	PC(36:4)>PC(16:0_20:4)_M+H2CO2_feature3	2																					
	Car(17:1)_feature1	2																					
	Leu-Ile	2																					
	PS(38:3)_feature3	2																					
	LPC(17:0)_rp_a_b	2																					
	TG(34:0)>TG(4:0_14:0_16:0)_M+NH3_feature3	2																					
	uridine	2																					
	DG(38:5)>DG(18:1_20:4_0:0)_M+NH3_feature2	2																					
	PC(39:6)_feature3	2																					
	DG(36:3)	2																					
	PI(38:6)>PI(16:0_22:6)_feature1	2																					
	LPE(O-15:0)_feature1	2																					
	PE(36:4)>PE(16:0_20:4)_feature5	2																					
	CoA(9:0)	2																					
	DG(32:0)	2																					
	LPE(18:0)>LPE(18:0/0:0)_feature2	2																					
	MG(16:0)	2																					
	PC(34:3)_feature1	2																					
	PC(O-38:7)_feature7	2																					
	TG(52:3)>TG(16:0_18:1_18:2)_and_TG(16:1_18:1_18:1)_M+NH3_feature3	2																					
	CoA(20:2)	2																					
	FA(22:3)	2																					
	PC(37:1)_feature2	2																					
	PC(O-40:4)_feature1	2																					
	TG(54:7)>TG(16:0_16:1_22:6)_and_TG(16:0_18:2_20:5)_M+NH3_feature4	2																					
	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature5	2																					
	valine-d8	2																					
	FA(18:4)	2																					
	PC(32:2)>PC(14:0_18:2)_M+H2CO2_feature1	2																					
	C12 carnitine	2																					
	FA(22:6)_feature1	2																					
	PC(34:3)>PC(16:1_18:2)_M+H2CO2_feature1	2																					
	PC(O-34:2)_feature1	2																					
	methionine sulfoxide	2																					
	Cer(d41:1)_M+H2CO2_feature1	2																					
	CoA(8:1)	2																					
	DG(40:6)>DG(18:0_22:6_0:0)_M+NH3_feature6	2																					
	PC(38:4)>PC(16:0_22:4)_M+H2CO2_feature3	2																					
	PE(32:0)>PE(16:0/16:0)_feature1	2																					
	PE(40:8)_feature1	2																					
	PE(42:10)_feature2	2																					
	PE(O-39:5)_feature3	2																					
	PG(36:4)>PG(16:0_20:4)_feature3	2																					
	SM(d41:2)_feature1	2																					
	SM(d43:1)_feature2	2																					
	TG(48:0)>TG(16:0/16:0/16:0)_and_TG(14:0_16:0_18:0)_M+NH3_feature1	2																					
	TG(56:6)>TG(18:1_18:1_20:4)_and_TG(16:0_18:1_22:5)_and_TG(18:1_18:2_20:3)_M+NH3_feature3	2																					
	TG(54:6)>TG(16:0_16:0_22:6)_M+NH3_feature6	2																					
	Cer(d42:0)_M+H2CO2_feature1	2																					
	CoA(4:0-CH3)	2																					
	PC(38:5)_feature3	2																					
	PC(40:2)_feature3	2																					
	PE(O-40:5)>PE(O-18:1/22:4)_feature3	2																					
	UMP	2																					
	DG(38:4)>DG(18:0_20:4_0:0)_feature6	2																					
	LPE(18:2)_b	2																					
	PE(O-40:4)>PE(O-18:0/22:4)_feature4	2																					
	TG(56:1)_M+NH3_feature1	2																					
	kynurenate	2																					
	PC(O-38:6)_feature2	2																					
	TG(48:1)>TG(16:0_16:0_16:1)_and_TG(14:0_16:0_18:1)_M+NH3_feature2	2																					
	PC(37:4)_feature3	2																					
	PC(39:4)_feature4	2																					
	PE(38:7)>PE(16:1_22:6)_feature1	2																					
	Citrate	2																					
	CoA(21:3)	2																					
	CoA(4:1)	2																					
	LPC(17:0)>LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	2																					
	LPC(24:0)>LPC(24:0/0:0)_feature2	2																					
	PC(30:0)_feature1	2																					
	PC(31:0)_feature2	2																					
	PC(34:4)>PC(14:0_20:4)_M+H2CO2_feature2	2																					
	PC(O-38:7)_feature2	2																					
	PE(40:7)>PE(18:2_22:5)_feature1	2																					
	SM(d42:2)	2																					
	TG(50:4)>TG(16:1_16:1_18:2)_and_TG(16:1_16:1_18:2)_M+NH3_feature3	2																					
	TG(54:2)>TG(16:0_18:1_20:1)_and_TG(18:0_18:1_18:1)_M+NH3_feature3	2																					
	DG(32:1)>DG(16:0_16:1_0:0)_M+NH3_feature1	2																					
	NADH	2																					
	acetylcysteine	2																					
	gamma-Aminobutyric acid	2																					
	CoA(21:1)	2																					
	FA(22:0)	2																					
	PC(34:1)>PC(16:0_18:1)_M+H2CO2_feature2	2																					
	PC(36:6)_feature2	2																					
	PI(36:3)_feature2	2																					
	TG(56:4)>TG(18:0_18:0_20:4)_M+NH3_feature6	2																					
	Ubiquinol Q9_feature1	2																					
	deoxyuridine	2																					
	EA(17:0)_feature1	2																					
	SM(d42:3)_M+H2CO2_feature1	2																					
	TG(56:4)>TG(18:0_18:0_20:4)_M+NH3_feature5	2																					
	TG(58:6)_M+NH3_feature4	2																					
	LPC(18:1/0:0)_feature2	2																					
	PC(30:0)_feature2	2																					
	PC(39:4)_feature3	2																					
	SM(d38:1)_feature2	2																					
	TG(51:0)>TG(16:0_17:0_18:0)_and_TG(16:0_16:0_19:0)_and_TG(15:0_17:0_19:0)_M+NH3_feature1	2																					
	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature1	2																					
	CL(72:7)_feature1	2																					
	MG(18:1)_rp_a_b	2																					
	PE(40:6)_feature3	2																					
	TG(42:2)_M+NH3_feature2	2																					
	TG(44:1)>TG(10:0_16:0_18:1)_M+NH3_feature1	2																					
	alpha-tocopherol	2																					
	C18:0 SM	2																					
	LPC(18:0)>LPC(18:0/0:0)_M+H2CO2_feature2	2																					
	NMMA	2																					
	PC(36:2)_feature2	2																					
	SM(d33:1)_feature1	2																					
	SM(d37:1)_feature1	2																					
	TG(51:2)_M+NH3_feature2	2																					
	TG(60:10)>TG(18:0_20:4_22:6)_M+NH3_feature4	2																					
	TG(60:4)_M+NH3_feature1	2																					
	LPE(18:0)_b	2																					
	Succinic acid	2																					
	6-phosphogluconate	2																					
	PE(39:4)>PE(19:0_20:4)_feature3	2																					
	SM(d42:2)_M+H2CO2_feature1	2																					
	Car(13:0)_feature1	2																					
	"CoA(3:0, 3-OH)"	2																					
	PC(35:3)	2																					
	PE(34:1)>PE(16:0_18:1)_feature1	2																					
	pyroglutamate	2																					
	C20:4 LPC B	2																					
	PC(O-36:4)>PC(O-16:0/20:4) M+ H2CO2_feature4	2																					
	PC(O-40:6)_feature1	2																					
	PS(40:6)>PS(18:0_22:6)_feature2	2																					
	SM(d34:0)	2																					
	omega-muricholate	2																					
	CL(72:6)_feature1	2																					
	Ile-Pro	2																					
	LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_M+H2CO2_feature1and2	2																					
	PC(37:4)_feature2	2																					
	PE(38:3)>PE(18:0_20:3)_feature4	2																					
	PE(40:6)_feature1	2																					
	PE(42:8)>PE(20:4_22:4)_feature2	2																					
	TG(42:1)_M+NH3_feature1	2																					
	oleamide	2																					
	oxidized glutathione	2																					
	phosphocreatine	2																					
	5-hydroxytryptophol	2																					
	3-Methyl-2-oxovaleric acid	2																					
	ADMA	2																					
	Cer(d44:2)>Cer(d18:1/26:1)_feature1	2																					
	Lactic acid	2																					
	PC(36:3)_feature1	2																					
	PC(36:6)_feature3	2																					
	PC(38:5)>PC(16:0_22:5)_and_PC(18:1_20:4)_M+H2CO2_feature5	2																					
	PE(40:7)_feature3	2																					
	PE(O-36:4)_feature1	2																					
	PS(40:4)_feature1	2																					
