plot	feature	tissue	feature_ID	non_redundant_feature_ID	platform	training_q	female_1w	female_2w	female_4w	female_8w	male_1w	male_2w	male_4w	male_8w		
	METAB;HYPOTH;7-methylguanine	HYPOTH	7-methylguanine	NA	metab-u-hilicpos	5.91E-03	0.25918	0.2562	0.3923	2.00832	1.95964	2.54288	5.04325	-0.38004		
	METAB;LIVER;7-methylguanine	LIVER	7-methylguanine	NA	metab-u-hilicpos	3.20E-02	0.61295	0.60631	-0.42246	1.10106	3.63505	2.96571	2.4099	-0.11224		
	METAB;PLASMA;7-methylguanine	PLASMA	7-methylguanine	NA	metab-u-hilicpos	2.96E-02	1.74985	1.52699	-1.64634	0.12529	-1.20135	-3.04789	-1.05539	-1.18172		
	METAB;SKM-GN;7-methylguanine	SKM-GN	7-methylguanine	NA	metab-u-hilicpos	1.76E-04	1.69756	0.27893	-2.5407	-1.29449	3.40495	3.02175	2.03596	-1.90355		
	METAB;SPLEEN;7-methylguanine	SPLEEN	7-methylguanine	NA	metab-u-hilicpos	3.08E-03	1.2406	1.82355	1.17389	0.82183	3.89634	2.97466	2.18795	-1.78118		
	"METAB;KIDNEY;9,10-DiHOME"	KIDNEY	"9,10-DiHOME"	NA	metab-t-oxylipneg	1.81E-02	-2.60314	-4.77485	-3.15338	-4.52592	-0.9414	-0.72922	-0.42665	-1.62497		
	METAB;KIDNEY;9-HODE	KIDNEY	9-HODE	NA	metab-t-oxylipneg	2.66E-02	-2.90129	0.28731	1.38419	-1.40365	0.52287	-0.91547	1.02914	1.39098		
X	METAB;HEART;ADMA	HEART	ADMA	NA	metab-u-hilicpos	2.31E-02	1.69927	1.16193	-0.53459	-0.9409	-0.214	2.09291	-1.97378	-0.38699		
X	METAB;SMLINT;ADMA	SMLINT	ADMA	NA	metab-u-hilicpos	4.94E-02	-0.5466	-2.12429	-2.37438	-2.38808	-1.4687	-2.91784	-2.55227	-3.05043		
X	METAB;BAT;ADMA/SDMA	BAT	ADMA/SDMA	NA	metab-u-hilicpos	7.94E-03	3.21742	3.58604	2.14074	0.90821	1.39346	2.31369	-0.55869	-1.13811		
	METAB;HEART;ADP	HEART	ADP	NA	meta-reg	1.31E-05	-1.51044	-0.03563	0.8754	0.77787	2.87261	3.8229	2.31755	3.69413		
	METAB;HEART;ADP-ribose	HEART	ADP-ribose	NA	metab-t-nuc	3.49E-03	2.35834	3.33898	2.94341	2.408	4.1212	3.97017	3.52947	1.54569		
	METAB;WAT-SC;AICAR	WAT-SC	AICAR	NA	metab-t-nuc	2.28E-02	-0.06231	4.09538	1.43046	1.35156	-0.46028	1.48041	1.21127	0.63955		
	METAB;LIVER;AMP	LIVER	AMP	NA	meta-reg	7.76E-03	0.35293	0.88975	-2.1853	-1.85955	-0.8154	-2.16836	-1.72641	-1.64101		
	METAB;PLASMA;AMP	PLASMA	AMP	NA	meta-reg	5.48E-03	-0.26108	-0.8112	-0.66801	0.06079	-4.81589	-0.78078	0.1752	-0.93419		
	METAB;BAT;ATP	BAT	ATP	NA	metab-u-ionpneg	4.21E-03	5.5626	4.9985	4.74594	3.79198	1.5189	1.91228	0.90569	-0.47134		
	METAB;HEART;ATP	HEART	ATP	NA	meta-reg	4.19E-03	1.93764	2.41981	1.33158	0.90311	2.55326	4.20835	2.49622	2.93163		
	METAB;KIDNEY;ATP	KIDNEY	ATP	NA	metab-u-ionpneg	1.89E-02	1.53924	1.93404	-0.00269	0.62112	2.49622	4.16189	0.60948	0.53218		
	METAB;SKM-GN;Acetyl-CoA	SKM-GN	Acetyl-CoA	NA	meta-reg	3.85E-02	1.81308	2.55054	0.33162	1.42185	0.69997	1.74682	-0.03503	0.98916		
	METAB;BAT;Adenosine	BAT	Adenosine	NA	meta-reg	4.79E-07	-3.75333	-4.02158	1.53725	0.37666	-1.49439	-4.02174	-2.00386	-0.57431		
	METAB;SKM-GN;Adenosine	SKM-GN	Adenosine	NA	meta-reg	7.19E-04	1.6097	-1.11763	-1.58428	2.36346	2.47233	2.14697	3.27514	-0.30607		
	METAB;KIDNEY;Ala-Leu	KIDNEY	Ala-Leu	NA	metab-u-rppos	3.65E-02	2.58236	1.65812	1.00162	1.12774	3.47207	2.45478	0.06929	1.69159		
	METAB;BAT;Alanine	BAT	Alanine	NA	meta-reg	1.33E-03	3.46449	1.56384	0.75756	-0.4937	1.57484	0.06538	-0.41313	-3.69943		
	METAB;HEART;Alanine	HEART	Alanine	NA	meta-reg	4.83E-08	-1.96848	-2.75537	-2.51427	0.75101	-3.43132	-4.36026	-3.29179	0.11671		
X	METAB;LUNG;Alanine	LUNG	Alanine	NA	meta-reg	0.00E+00	1.06787	-0.78416	1.12318	2.42816	-0.835	-0.92533	0.34212	0.97288		
X	METAB;WAT-SC;Alanine	WAT-SC	Alanine	NA	meta-reg	0.00E+00	0.85435	0.50965	0.21902	2.09029	1.32185	0.13706	-0.40289	0.87093		
	METAB;KIDNEY;Aminoisobutyric acid	KIDNEY	Aminoisobutyric acid	NA	meta-reg	3.98E-05	1.25801	2.75685	-1.51431	-3.83103	2.64532	1.34142	-0.55094	-2.78651		
	METAB;BAT;Anserine	BAT	Anserine	NA	metab-t-amines	3.02E-03	NA	NA	NA	NA	NA	NA	NA	NA		
	METAB;LUNG;Anserine	LUNG	Anserine	NA	meta-reg	5.86E-05	-0.14105	-0.37191	-0.07843	-0.00173	-2.24682	-4.08119	-0.75576	1.25547		
	METAB;PLASMA;Anserine	PLASMA	Anserine	NA	metab-t-amines	7.54E-04	3.05772	3.01819	4.03053	-0.75515	1.60851	1.75289	-1.48877	0.44616		
